oxlint_key	in_tsgolint_readme	tsgolint_status
typescript/adjacent-overload-signatures	no	n/a
typescript/array-type	no	n/a
typescript/await-thenable	yes	implemented
typescript/ban-ts-comment	no	n/a
typescript/ban-tslint-comment	no	n/a
typescript/ban-types	no	n/a
typescript/class-literal-property-style	no	n/a
typescript/consistent-generic-constructors	no	n/a
typescript/consistent-indexed-object-style	no	n/a
typescript/consistent-return	yes	implemented
typescript/consistent-type-assertions	no	n/a
typescript/consistent-type-definitions	no	n/a
typescript/consistent-type-exports	yes	implemented
typescript/consistent-type-imports	no	n/a
typescript/dot-notation	yes	implemented
typescript/explicit-member-accessibility	no	n/a
typescript/explicit-function-return-type	no	n/a
typescript/explicit-module-boundary-types	no	n/a
typescript/method-signature-style	no	n/a
typescript/no-array-delete	yes	implemented
typescript/no-base-to-string	yes	implemented
typescript/no-confusing-non-null-assertion	no	n/a
typescript/no-confusing-void-expression	yes	implemented
typescript/no-deprecated	yes	implemented
typescript/no-duplicate-enum-values	no	n/a
typescript/no-duplicate-type-constituents	yes	implemented
typescript/no-dynamic-delete	no	n/a
typescript/no-empty-interface	no	n/a
typescript/no-empty-object-type	no	n/a
typescript/no-explicit-any	no	n/a
typescript/no-extra-non-null-assertion	no	n/a
typescript/no-extraneous-class	no	n/a
typescript/no-floating-promises	yes	implemented
typescript/no-for-in-array	yes	implemented
typescript/no-implied-eval	yes	implemented
typescript/no-import-type-side-effects	no	n/a
typescript/no-inferrable-types	no	n/a
typescript/no-invalid-void-type	no	n/a
typescript/no-meaningless-void-operator	yes	implemented
typescript/no-misused-new	no	n/a
typescript/no-misused-promises	yes	implemented
typescript/no-misused-spread	yes	implemented
typescript/no-mixed-enums	yes	implemented
typescript/no-namespace	no	n/a
typescript/no-non-null-asserted-nullish-coalescing	no	n/a
typescript/no-non-null-asserted-optional-chain	no	n/a
typescript/no-non-null-assertion	no	n/a
typescript/no-redundant-type-constituents	yes	implemented
typescript/no-require-imports	no	n/a
typescript/no-restricted-types	no	n/a
typescript/no-this-alias	no	n/a
typescript/no-unnecessary-boolean-literal-compare	yes	implemented
typescript/no-unnecessary-condition	yes	implemented
typescript/no-unnecessary-parameter-property-assignment	no	n/a
typescript/no-unnecessary-qualifier	yes	implemented
typescript/no-unnecessary-template-expression	yes	implemented
typescript/no-unnecessary-type-arguments	yes	implemented
typescript/no-unnecessary-type-assertion	yes	implemented
typescript/no-unnecessary-type-constraint	no	n/a
typescript/no-unnecessary-type-conversion	yes	implemented
typescript/no-unnecessary-type-parameters	yes	implemented
typescript/no-unsafe-argument	yes	implemented
typescript/no-unsafe-assignment	yes	implemented
typescript/no-unsafe-call	yes	implemented
typescript/no-unsafe-declaration-merging	no	n/a
typescript/no-unsafe-enum-comparison	yes	implemented
typescript/no-unsafe-function-type	no	n/a
typescript/no-unsafe-member-access	yes	implemented
typescript/no-unsafe-return	yes	implemented
typescript/no-unsafe-type-assertion	yes	implemented
typescript/no-unsafe-unary-minus	yes	implemented
typescript/no-useless-default-assignment	yes	implemented
typescript/no-useless-empty-export	no	n/a
typescript/no-var-requires	no	n/a
typescript/no-wrapper-object-types	no	n/a
typescript/non-nullable-type-assertion-style	yes	implemented
typescript/only-throw-error	yes	implemented
typescript/parameter-properties	no	n/a
typescript/prefer-as-const	no	n/a
typescript/prefer-enum-initializers	no	n/a
typescript/prefer-find	yes	implemented
typescript/prefer-for-of	no	n/a
typescript/prefer-function-type	no	n/a
typescript/prefer-includes	yes	implemented
typescript/prefer-literal-enum-member	no	n/a
typescript/prefer-namespace-keyword	no	n/a
typescript/prefer-nullish-coalescing	yes	implemented
typescript/prefer-optional-chain	yes	implemented
typescript/prefer-promise-reject-errors	yes	implemented
typescript/prefer-readonly	yes	implemented
typescript/prefer-readonly-parameter-types	yes	implemented
typescript/prefer-reduce-type-parameter	yes	implemented
typescript/prefer-regexp-exec	yes	implemented
typescript/prefer-return-this-type	yes	implemented
typescript/prefer-string-starts-ends-with	yes	implemented
typescript/prefer-ts-expect-error	no	n/a
typescript/promise-function-async	yes	implemented
typescript/related-getter-setter-pairs	yes	implemented
typescript/require-array-sort-compare	yes	implemented
typescript/require-await	yes	implemented
typescript/restrict-plus-operands	yes	implemented
typescript/restrict-template-expressions	yes	implemented
typescript/return-await	yes	implemented
typescript/strict-boolean-expressions	yes	implemented
typescript/strict-void-return	yes	implemented
typescript/switch-exhaustiveness-check	yes	implemented
typescript/triple-slash-reference	no	n/a
typescript/unbound-method	yes	implemented
typescript/unified-signatures	no	n/a
typescript/use-unknown-in-catch-callback-variable	yes	implemented
